,answer_type_id,answer_type_name,answers,frontend_info_text,points,question_type_id,question_type_name,onlinetest_title,text,variable,questions_temp,correct_answers_temp,content,lang,topic_label_en,topic_label_de,source,answers_content,related_topics,topic_label_de_fixed,irt_difficulty,level_difficulty,docid
2812,4,Single Choice,"[{'Mechanische Energie': 'false', 'Chemische Reaktionen': 'false', 'Elektrische Energie': 'true', 'Thermodynamik': 'false'}]",N/A,N/A,N/A,N/A,N/A,Was ist die Grundlage der Elektrotechnik?,N/A,Was ist die Grundlage der Elektrotechnik?,Elektrische Energie,grundlage elektrotechnik mechanisch energie chemisch reaktion elektrisch energie thermodynamik,GERMAN,N/A,Elektrotechnik,ChatGPT3.5,Mechanische Energie Chemische Reaktionen Elektrische Energie Thermodynamik,"[{'topic': 'Allgemeinwissen', 'rate': 0.31622672429223514}, {'topic': 'Arbeitssicherheit und Gesundheitsschutz', 'rate': 0.03884054539284159}, {'topic': 'Datenverarbeitung', 'rate': 0.03579986688647307}, {'topic': 'Deutsche Sprache', 'rate': 0.05374241938292218}, {'topic': 'Elektrotechnik', 'rate': 0.026895748214670546}]",elektrotechnik,N/A,N/A,2812
2813,4,Single Choice,"[{'Ein Computerprogramm': 'false', 'Eine Kombination von Schaltern': 'false', 'Ein System von elektrischen Komponenten und Leitungen': 'true', 'Ein chemischer Prozess': 'false'}]",N/A,N/A,N/A,N/A,N/A,Was ist eine elektrische Schaltung?,N/A,Was ist eine elektrische Schaltung?,Ein System von elektrischen Komponenten und Leitungen,elektrisch schaltung computerprogramm kombination schalter system elektrisch komponente leitung chemisch prozeß,GERMAN,N/A,Elektrische Schaltungen,ChatGPT3.5,Ein Computerprogramm Eine Kombination von Schaltern Ein System von elektrischen Komponenten und Leitungen Ein chemischer Prozess,"[{'topic': 'Allgemeinwissen', 'rate': 0.31622672429223514}, {'topic': 'Arbeitssicherheit und Gesundheitsschutz', 'rate': 0.03884054539284159}, {'topic': 'Datenverarbeitung', 'rate': 0.03579986688647307}, {'topic': 'Deutsche Sprache', 'rate': 0.05374241938292218}, {'topic': 'Elektrotechnik', 'rate': 0.026895748214670546}]",elektrotechnik,N/A,N/A,2813
2814,4,Single Choice,"[{'U = R * I': 'true', 'F = m * a': 'false', 'E = mc^2': 'false', 'P = V * I': 'false'}]",N/A,N/A,N/A,N/A,N/A,Wie lautet das Ohmsche Gesetz?,N/A,Wie lautet das Ohmsche Gesetz?,U = R * I,lauten ohmsch gesetz u r i f m a e mc^nummer p v i,GERMAN,N/A,Ohmsches Gesetz,ChatGPT3.5,U = R * I F = m * a E = mc^2 P = V * I,"[{'topic': 'Allgemeinwissen', 'rate': 0.31622672429223514}, {'topic': 'Arbeitssicherheit und Gesundheitsschutz', 'rate': 0.03884054539284159}, {'topic': 'Datenverarbeitung', 'rate': 0.03579986688647307}, {'topic': 'Deutsche Sprache', 'rate': 0.05374241938292218}, {'topic': 'Elektrotechnik', 'rate': 0.026895748214670546}]",elektrotechnik,N/A,N/A,2814
2815,4,Single Choice,"[{'Nur um Stromrechnungen zu senken': 'false', 'Um elektrische Geräte vor Überhitzung zu schützen': 'false', 'Um Unfälle und elektrische Schocks zu verhindern': 'true', 'Um das Licht in einem Raum einzuschalten': 'false'}]",N/A,N/A,N/A,N/A,N/A,Warum ist die elektrische Sicherheit wichtig?,N/A,Warum ist die elektrische Sicherheit wichtig?,Um Unfälle und elektrische Schocks zu verhindern,warum elektrisch sicherheit wichtig stromrechnung senken elektrisch gerät überhitzung schützen unfall elektrisch schock verhindern licht raum einschalten,GERMAN,N/A,Elektrische Sicherheit,ChatGPT3.5,Nur um Stromrechnungen zu senken Um elektrische Geräte vor Überhitzung zu schützen Um Unfälle und elektrische Schocks zu verhindern Um das Licht in einem Raum einzuschalten,"[{'topic': 'Allgemeinwissen', 'rate': 0.31622672429223514}, {'topic': 'Arbeitssicherheit und Gesundheitsschutz', 'rate': 0.03884054539284159}, {'topic': 'Datenverarbeitung', 'rate': 0.03579986688647307}, {'topic': 'Deutsche Sprache', 'rate': 0.05374241938292218}, {'topic': 'Elektrotechnik', 'rate': 0.026895748214670546}]",elektrotechnik,N/A,N/A,2815
2816,4,Single Choice,"[{'Klare Botschaft und Struktur': 'true', 'Lange und komplizierte Sätze': 'false', 'Viele Animationen und Soundeffekte': 'false', 'Schlechter Blickkontakt': 'false'}]",N/A,N/A,N/A,N/A,N/A,Was ist ein wichtiger Aspekt einer erfolgreichen Präsentation?,N/A,Was ist ein wichtiger Aspekt einer erfolgreichen Präsentation?,Klare Botschaft und Struktur,wichtig aspekt erfolgreich präsentation klar botschaft struktur lang kompliziert satz viel animation soundeffekt schlecht blickkontakt,GERMAN,N/A,Präsentationstechniken,ChatGPT3.5,Klare Botschaft und Struktur Lange und komplizierte Sätze Viele Animationen und Soundeffekte Schlechter Blickkontakt,"[{'topic': 'Allgemeinwissen', 'rate': 0.31622672429223514}, {'topic': 'Arbeitssicherheit und Gesundheitsschutz', 'rate': 0.03884054539284159}, {'topic': 'Datenverarbeitung', 'rate': 0.03579986688647307}, {'topic': 'Deutsche Sprache', 'rate': 0.05374241938292218}, {'topic': 'Elektrotechnik', 'rate': 0.026895748214670546}]",visualisierungs- und präsentationstechniken,N/A,N/A,2816
2817,4,Single Choice,"[{'Um Selbstvertrauen aufzubauen und Inhalte zu vermitteln': 'true', 'Um spontaner zu wirken': 'false', 'Um keine Zeit zu verschwenden': 'false', 'Um die Zuhörer zu verwirren': 'false'}]",N/A,N/A,N/A,N/A,N/A,Warum ist eine gründliche Vorbereitung vor einer Präsentation wichtig?,N/A,Warum ist eine gründliche Vorbereitung vor einer Präsentation wichtig?,Um Selbstvertrauen aufzubauen und Inhalte zu vermitteln,warum gründlich vorbereitung präsentation wichtig selbstvertrauen aufbauen inhalt vermitteln spontan wirken zeit verschwenden zuhörer verwirren,GERMAN,N/A,Vorbereitung,ChatGPT3.5,Um Selbstvertrauen aufzubauen und Inhalte zu vermitteln Um spontaner zu wirken Um keine Zeit zu verschwenden Um die Zuhörer zu verwirren,"[{'topic': 'Allgemeinwissen', 'rate': 0.31622672429223514}, {'topic': 'Arbeitssicherheit und Gesundheitsschutz', 'rate': 0.03884054539284159}, {'topic': 'Datenverarbeitung', 'rate': 0.03579986688647307}, {'topic': 'Deutsche Sprache', 'rate': 0.05374241938292218}, {'topic': 'Elektrotechnik', 'rate': 0.026895748214670546}]",berufliche rehabilitation,N/A,N/A,2817
2818,4,Single Choice,"[{'Verwendung von Diagrammen und Grafiken': 'true', 'Langes Sprechen ohne visuelle Hilfsmittel': 'false', 'Verwendung von schwer verständlichen Fachbegriffen': 'false', 'Wiederholung der gleichen Informationen': 'false'}]",N/A,N/A,N/A,N/A,N/A,Was ist ein effektives Mittel zur Visualisierung von Informationen während einer Präsentation?,N/A,Was ist ein effektives Mittel zur Visualisierung von Informationen während einer Präsentation?,Verwendung von Diagrammen und Grafiken,effektiv mittel visualisierung information präsentation verwendung diagramm grafik lang sprechen visuell hilfsmittel verwendung schwer verständlich fachbegriff wiederholung gleich information,GERMAN,N/A,Visualisierung,ChatGPT3.5,Verwendung von Diagrammen und Grafiken Langes Sprechen ohne visuelle Hilfsmittel Verwendung von schwer verständlichen Fachbegriffen Wiederholung der gleichen Informationen,"[{'topic': 'Allgemeinwissen', 'rate': 0.31622672429223514}, {'topic': 'Arbeitssicherheit und Gesundheitsschutz', 'rate': 0.03884054539284159}, {'topic': 'Datenverarbeitung', 'rate': 0.03579986688647307}, {'topic': 'Deutsche Sprache', 'rate': 0.05374241938292218}, {'topic': 'Elektrotechnik', 'rate': 0.026895748214670546}]",visualisierungs- und präsentationstechniken,N/A,N/A,2818
2819,4,Single Choice,"[{'Um die Botschaft zu vermitteln und das Verständnis zu fördern': 'true', 'Um die Zuhörer zu verwirren': 'false', 'Um die Zeit zu verlängern': 'false', 'Um die eigenen Nerven zu beruhigen': 'false'}]",N/A,N/A,N/A,N/A,N/A,Warum ist eine klare Kommunikation während einer Präsentation entscheidend?,N/A,Warum ist eine klare Kommunikation während einer Präsentation entscheidend?,Um die Botschaft zu vermitteln und das Verständnis zu fördern,warum klar kommunikation präsentation entscheidend botschaft vermitteln verständnis fördern zuhörer verwirren zeit verlängern eigen nerv beruhigen,GERMAN,N/A,Kommunikation,ChatGPT3.5,Um die Botschaft zu vermitteln und das Verständnis zu fördern Um die Zuhörer zu verwirren Um die Zeit zu verlängern Um die eigenen Nerven zu beruhigen,"[{'topic': 'Allgemeinwissen', 'rate': 0.31622672429223514}, {'topic': 'Arbeitssicherheit und Gesundheitsschutz', 'rate': 0.03884054539284159}, {'topic': 'Datenverarbeitung', 'rate': 0.03579986688647307}, {'topic': 'Deutsche Sprache', 'rate': 0.05374241938292218}, {'topic': 'Elektrotechnik', 'rate': 0.026895748214670546}]","kommunikation, verhandlung und etikette am arbeitsplatz",N/A,N/A,2819
2820,4,Single Choice,"[{'Mittelwert': 'true', 'Median': 'false', 'Modus': 'false', 'Varianz': 'false'}]",N/A,N/A,N/A,N/A,N/A,Was ist der Durchschnitt aller Zahlen in einer gegebenen Datenreihe?,N/A,Was ist der Durchschnitt aller Zahlen in einer gegebenen Datenreihe?,Mittelwert,durchschnitt zahlen gegeben datenreihe mittelwert median modus varianz,GERMAN,N/A,Grundlegende Statistiken,ChatGPT3.5,Mittelwert Median Modus Varianz,"[{'topic': 'Allgemeinwissen', 'rate': 0.31622672429223514}, {'topic': 'Arbeitssicherheit und Gesundheitsschutz', 'rate': 0.03884054539284159}, {'topic': 'Datenverarbeitung', 'rate': 0.03579986688647307}, {'topic': 'Deutsche Sprache', 'rate': 0.05374241938292218}, {'topic': 'Elektrotechnik', 'rate': 0.026895748214670546}]",grundlegende statistiken,N/A,N/A,2820
2821,4,Single Choice,"[{'Normalverteilung (Gauß-Verteilung)': 'true', 'Exponentialverteilung': 'false', 'Poisson-Verteilung': 'false', 'Binomialverteilung': 'false'}]",N/A,N/A,N/A,N/A,N/A,Welche Verteilung ist symmetrisch und hat einen Median gleich dem Mittelwert?,N/A,Welche Verteilung ist symmetrisch und hat einen Median gleich dem Mittelwert?,Normalverteilung (Gauß-Verteilung),verteilung symmetrisch median gleich mittelwert normalverteilung gaußverteilung exponentialverteilung poissonverteilung binomialverteilung,GERMAN,N/A,Statistische Verteilungen,ChatGPT3.5,Normalverteilung (Gauß-Verteilung) Exponentialverteilung Poisson-Verteilung Binomialverteilung,"[{'topic': 'Allgemeinwissen', 'rate': 0.31622672429223514}, {'topic': 'Arbeitssicherheit und Gesundheitsschutz', 'rate': 0.03884054539284159}, {'topic': 'Datenverarbeitung', 'rate': 0.03579986688647307}, {'topic': 'Deutsche Sprache', 'rate': 0.05374241938292218}, {'topic': 'Elektrotechnik', 'rate': 0.026895748214670546}]",grundlegende statistiken,N/A,N/A,2821
